account_id,account_number,customer_id,branch_id,account_type,account_status,opened_date,current_balance
54,AC00000054,86,1,Current,active,2024-12-21,149244.39
55,AC00000055,89,2,Fixed Deposit,Inactive,2023-05-15,294654.88
56,AC00000056,10,1,CURRENT,Closed,2025-03-11,4245.92
57,AC00000057,23,2,Current,Dormant,2024-08-03,279421.62
58,AC00000058,78,4,Current,active,2024-01-10,452376.11
59,AC00000059,86,2,Savings,Dormant,2026-03-17,13861.49
60,AC00000060,66,4,Savings,Inactive,2026-05-20,250924.93
61,AC00000061,89,3,Savings,Active,2024-04-01,291162.42
62,AC00000062,11,4,CURRENT,Active,2025-06-03,9315.47
63,AC00000063,71,2,Fixed Deposit,Active,2023-10-07,98686.26
64,AC00000064,86,1,Current,Dormant,2023-11-20,40511.98
65,AC00000065,59,4,CURRENT,Active,2023-01-30,257654.99
66,AC00000066,15,4,Fixed Deposit,active,2023-03-30,166634.38
67,AC00000067,21,2,Savings,Closed,2023-02-01,333990.74
68,AC00000068,63,1,CURRENT,Closed,2023-07-25,341375.22
69,AC00000069,7,1,Current,Active,2023-09-07,406961.55
70,AC00000070,62,4,Savings,Closed,2025-12-24,153461.33
71,AC00000071,92,2,saving,Dormant,2023-03-18,443304.34
72,AC00000072,95,4,saving,Closed,2023-10-02,270846.5
73,AC00000073,21,1,Savings,Dormant,2024-07-21,435674.44
74,AC00000074,78,3,Current,Dormant,2023-12-30,79974.98
75,AC00000075,98,1,Savings,active,2022-06-09,55522.14
76,AC00000076,18,2,Current,Dormant,2023-04-13,290570.39
77,AC00000077,96,4,Savings,Closed,2024-03-18,349215.68
78,AC00000078,65,1,Savings,active,2025-03-21,199134.39
79,AC00000079,78,1,CURRENT,Closed,2025-09-09,222551.06
80,AC00000080,5,3,CURRENT,Dormant,2023-05-02,497757.62
81,AC00000081,69,3,saving,Dormant,2025-08-21,230580.7
82,AC00000082,77,4,CURRENT,active,2026-01-11,25868.29
83,AC00000083,7,1,CURRENT,Inactive,2026-04-26,258600.25
84,AC00000084,71,1,CURRENT,Closed,2024-02-05,246301.1
85,AC00000085,99,4,CURRENT,Dormant,2025-02-19,245057.93
86,AC00000086,53,3,CURRENT,active,2022-12-09,116063.62
87,AC00000087,23,1,Current,Active,2023-09-07,221995.27
88,AC00000088,73,4,Current,active,2022-10-08,13424.57
89,AC00000089,99,3,Current,Dormant,2025-11-06,133698.95
90,AC00000090,64,3,Fixed Deposit,Closed,2024-02-05,362266.62
91,AC00000091,11,2,Current,Closed,2025-02-08,100454.07
92,AC00000092,26,2,saving,Inactive,2024-05-20,394028.93
93,AC00000093,60,2,CURRENT,active,2025-05-26,490334.35
94,AC00000094,86,1,CURRENT,active,2026-03-25,121456.44
95,AC00000095,92,1,CURRENT,Closed,2025-01-24,31356.79
96,AC00000096,18,2,saving,Active,2024-11-02,299548.46
97,AC00000097,21,4,Savings,Inactive,2025-02-04,126793.38
98,AC00000098,90,3,Current,Dormant,2025-09-19,248217.52
99,AC00000099,64,4,CURRENT,active,2024-05-27,63561.25
100,AC00000100,43,4,Fixed Deposit,Dormant,2025-12-16,135782.11
101,AC00000101,55,3,Savings,Active,2022-11-04,235363.7
102,AC00000102,100,2,Current,active,2026-02-04,494348.2
103,AC00000103,94,4,saving,Inactive,2024-11-20,274093.52
104,AC00000104,50,3,Savings,Dormant,2023-02-18,381471.17
105,AC00000105,12,4,Fixed Deposit,Dormant,2023-07-16,134508.52
106,AC00000106,8,3,CURRENT,active,2025-02-02,373489.29
107,AC00000107,6,3,CURRENT,Closed,2024-02-06,479317.44
108,AC00000108,13,2,saving,Active,2025-12-19,55578.02
109,AC00000109,100,1,Fixed Deposit,active,2024-08-12,355970.4
110,AC00000110,72,4,Fixed Deposit,Dormant,2024-04-12,446774.9
111,AC00000111,87,4,Fixed Deposit,Closed,2023-06-08,152753.83
112,AC00000112,69,4,Fixed Deposit,Active,2025-11-04,267405.64
113,AC00000113,31,3,Savings,Dormant,2023-07-19,451064.44
114,AC00000114,19,2,Fixed Deposit,Active,2024-10-01,364491.87
115,AC00000115,46,4,CURRENT,Inactive,2023-05-01,3618.56
116,AC00000116,37,2,CURRENT,Dormant,2023-10-28,349018.06
117,AC00000117,26,3,Savings,Inactive,2023-07-08,367553.16
118,AC00000118,87,4,Current,active,2025-09-15,92618.1
119,AC00000119,82,3,CURRENT,Active,2025-08-07,129007.31
120,AC00000120,85,3,Fixed Deposit,Dormant,2026-03-15,130955.75
121,AC00000121,6,4,Savings,Dormant,2023-07-06,172592.74
122,AC00000122,58,1,Current,Closed,2025-09-03,96306.6
123,AC00000123,82,3,Current,Inactive,2024-07-03,336552.4
124,AC00000124,28,3,Savings,Closed,2022-11-22,447479.81
125,AC00000125,40,3,CURRENT,Active,2025-10-14,331678.99
126,AC00000126,7,2,Current,Inactive,2025-11-16,359059.89
127,AC00000127,58,2,saving,Active,2025-07-23,227245.35
128,AC00000128,64,1,Savings,Dormant,2024-12-10,435014.88
129,AC00000129,93,1,saving,Dormant,2024-08-10,460281.07
130,AC00000130,8,2,Fixed Deposit,Dormant,2024-08-21,75134.85
131,AC00000131,22,1,Current,Closed,2026-03-03,201357.7
132,AC00000132,24,2,CURRENT,Active,2022-07-23,415848.26
133,AC00000133,11,1,Savings,active,2026-04-21,439467.3
134,AC00000134,8,4,CURRENT,Closed,2022-11-04,286127.41
135,AC00000135,87,3,Current,Closed,2022-12-05,294482.57
136,AC00000136,88,3,Current,Closed,2025-09-19,165605.03
137,AC00000137,51,3,Savings,Active,2026-02-24,275726.12
138,AC00000138,96,1,saving,Active,2026-04-16,130363.23
139,AC00000139,96,3,CURRENT,Closed,2024-12-07,281759.4
140,AC00000140,26,1,Savings,active,2024-08-26,163145.59
141,AC00000141,23,1,Savings,Dormant,2023-06-05,296691.23
142,AC00000142,9,3,Current,Dormant,2024-02-12,128816.14
143,AC00000143,2,2,Fixed Deposit,Inactive,2023-02-23,34243.32
144,AC00000144,18,3,Fixed Deposit,Inactive,2024-01-01,52309.75
145,AC00000145,21,4,Fixed Deposit,Active,2026-01-14,167358.97
146,AC00000146,71,2,Current,active,2024-03-28,408943.38
147,AC00000147,21,4,Savings,Inactive,2024-09-05,172298.7
148,AC00000148,8,4,Savings,Dormant,2023-01-04,293329.85
149,AC00000149,98,3,Fixed Deposit,active,2025-07-13,223747.24
150,AC00000150,67,3,Current,Dormant,2023-06-17,437962.53
151,AC00000151,86,1,Fixed Deposit,active,2025-12-15,193656.21
152,AC00000152,74,3,Savings,Active,2023-03-28,297813.52
153,AC00000153,6,3,saving,active,2025-09-29,465639.31
154,AC00000154,31,2,Fixed Deposit,Closed,2025-01-16,171520.52
155,AC00000155,86,4,Savings,Active,2024-09-19,30797.34
156,AC00000156,69,2,Savings,Inactive,2025-11-02,385521.04
157,AC00000157,95,3,CURRENT,Dormant,2025-04-23,159893.57
158,AC00000158,83,4,Current,Inactive,2023-05-03,382101.51
159,AC00000159,74,2,Current,active,2023-09-30,114243.87
160,AC00000160,25,2,Current,Closed,2023-11-30,180073.42
161,AC00000161,78,2,saving,Dormant,2025-11-11,297141.33
162,AC00000162,28,4,Savings,Inactive,2023-02-01,340872.27
163,AC00000163,39,3,Fixed Deposit,Active,2023-06-18,374328.44
164,AC00000164,20,4,Current,Dormant,2025-07-19,250759.16
165,AC00000165,35,4,Savings,Dormant,2024-01-24,104698.86
166,AC00000166,43,1,Savings,Dormant,2023-11-26,60637.46
167,AC00000167,51,4,CURRENT,active,2025-04-01,112148.57
168,AC00000168,38,2,CURRENT,Active,2023-06-05,419950.68
169,AC00000169,45,3,Fixed Deposit,Closed,2024-09-05,395256.14
170,AC00000170,56,3,CURRENT,Inactive,2023-05-12,294071.85
171,AC00000171,72,2,Fixed Deposit,Dormant,2025-07-27,404297.91
172,AC00000172,77,3,Fixed Deposit,active,2022-09-09,111409.57
173,AC00000173,56,2,Current,Active,2025-05-22,477277.87
174,AC00000174,19,3,saving,Inactive,2022-08-12,187867.47
175,AC00000175,100,4,Savings,Dormant,2025-03-12,38139.46
176,AC00000176,62,2,saving,active,2025-10-02,296159.16
177,AC00000177,83,3,Current,Inactive,2023-09-27,412809.93
178,AC00000178,4,1,Current,Active,2025-06-12,417309.59
179,AC00000179,72,4,Fixed Deposit,Closed,2022-10-23,63537.91
180,AC00000180,12,1,Savings,Dormant,2024-04-11,430996.13
181,AC00000181,79,1,Savings,Active,2026-03-01,110860.67
182,AC00000182,5,3,Fixed Deposit,Inactive,2026-04-18,105345.52
183,AC00000183,44,3,saving,active,2022-08-15,44950.7
184,AC00000184,79,3,Fixed Deposit,Active,2024-12-08,179215.69
185,AC00000185,21,1,Savings,Dormant,2025-11-21,436590.72
186,AC00000186,76,4,Savings,Active,2025-01-13,16754.97
187,AC00000187,1,1,Current,Closed,2022-10-21,199515.04
188,AC00000188,44,2,Fixed Deposit,Inactive,2024-09-17,127588.91
189,AC00000189,77,2,Fixed Deposit,Closed,2024-12-31,61096.11
190,AC00000190,74,4,CURRENT,Closed,2024-02-17,300771.39
191,AC00000191,1,1,Fixed Deposit,active,2022-06-11,152269.12
192,AC00000192,31,2,Fixed Deposit,Closed,2025-05-28,89960.62
193,AC00000193,22,4,saving,Active,2022-08-06,433660.35
194,AC00000194,74,1,saving,Inactive,2025-02-20,163098.24
195,AC00000195,75,1,Current,active,2024-08-23,287932.7
196,AC00000196,24,2,CURRENT,Closed,2025-03-22,230077.77
197,AC00000197,82,3,Savings,Inactive,2024-05-24,197109.56
198,AC00000198,75,1,Savings,Inactive,2023-05-26,198665.96
199,AC00000199,6,4,Fixed Deposit,Inactive,2024-07-20,206021.92
200,AC00000200,44,1,Fixed Deposit,active,2023-10-03,4867.65
201,AC00000201,2,4,Current,Dormant,2024-05-20,136869.17
202,AC00000202,45,1,CURRENT,Closed,2025-04-14,7821.17
203,AC00000203,51,2,Current,Closed,2023-08-03,164747.86
204,AC00000204,82,2,Fixed Deposit,Active,2022-09-11,222353.8
205,AC00000205,17,1,Current,active,2022-11-10,424791.24
206,AC00000206,43,1,CURRENT,active,2022-10-17,136878.81
207,AC00000207,38,2,Savings,Active,2024-04-10,332132.42
208,AC00000208,28,1,Fixed Deposit,active,2024-02-06,122218.27
209,AC00000209,81,4,Savings,Active,2026-05-05,356011.36
210,AC00000210,26,4,saving,Closed,2024-11-27,96525.35
211,AC00000211,27,2,Savings,Closed,2024-12-19,235952.75
212,AC00000212,91,1,CURRENT,Inactive,2024-12-23,488759.92
213,AC00000213,3,3,Fixed Deposit,Inactive,2024-07-05,174354.19
214,AC00000214,59,4,Fixed Deposit,Active,2025-11-21,121206.65
215,AC00000215,8,1,CURRENT,Inactive,2024-08-16,27736.13
216,AC00000216,18,1,Current,Dormant,2022-10-06,184202.92
217,AC00000217,37,1,Fixed Deposit,Active,2025-07-28,322281.49
218,AC00000218,86,2,saving,Active,2023-07-10,14813.08
219,AC00000219,48,2,Current,Closed,2023-08-18,409354.48
220,AC00000220,96,2,Savings,Active,2026-03-24,302194.17
221,AC00000221,15,2,saving,Active,2024-07-25,294647.49
222,AC00000222,18,4,Current,Dormant,2023-09-19,428117.28
223,AC00000223,29,4,CURRENT,active,2023-01-23,417322.02
224,AC00000224,78,4,Fixed Deposit,Inactive,2023-09-26,29366.56
225,AC00000225,78,2,CURRENT,Closed,2025-12-29,268947.12
226,AC00000226,9,2,CURRENT,Inactive,2024-10-17,434515.84
227,AC00000227,52,2,Current,active,2023-05-22,167221.76
228,AC00000228,26,1,Fixed Deposit,Dormant,2025-09-22,180827.04
229,AC00000229,52,3,Fixed Deposit,Dormant,2024-07-09,237147.15
230,AC00000230,62,4,Current,Inactive,2022-10-30,432728.96
231,AC00000231,6,4,Fixed Deposit,Active,2024-12-09,254418.06
232,AC00000232,75,3,Current,Inactive,2023-10-19,382894.45
233,AC00000233,36,4,Savings,Active,2024-06-10,60392.85
234,AC00000234,61,3,CURRENT,Closed,2025-01-14,451683.63
235,AC00000235,1,2,Current,Closed,2022-11-09,248154.69
236,AC00000236,67,3,Fixed Deposit,Inactive,2023-07-06,486311.67
237,AC00000237,95,1,Fixed Deposit,Dormant,2024-09-13,1739.84
238,AC00000238,30,2,Savings,Active,2023-09-03,342483.38
239,AC00000239,67,2,Current,Dormant,2024-12-05,48983.49
240,AC00000240,19,2,saving,Active,2025-12-07,205248.61
241,AC00000241,46,1,Current,Closed,2026-03-04,320129.34
242,AC00000242,79,2,Fixed Deposit,Active,2023-11-21,228525.45
243,AC00000243,34,2,saving,Closed,2024-03-23,282008.91
244,AC00000244,42,2,Current,Inactive,2025-09-20,370744.05
245,AC00000245,47,3,CURRENT,Active,2025-08-06,112594.69
246,AC00000246,48,4,Savings,Closed,2024-01-01,144098.13
247,AC00000247,92,4,Current,Closed,2025-09-02,274883.96
248,AC00000248,57,1,CURRENT,Dormant,2026-04-13,167330.96
249,AC00000249,82,3,Current,Dormant,2023-07-17,182571.65
250,AC00000250,91,2,Fixed Deposit,Inactive,2022-08-26,29256.83
251,AC00000251,63,2,Fixed Deposit,Dormant,2023-02-18,104434.72
252,AC00000252,41,3,Current,Inactive,2024-09-12,387709.64
253,AC00000253,75,2,CURRENT,Active,2025-04-08,284612.26
254,AC00000254,4,2,Savings,Inactive,2025-04-11,66696.81
255,AC00000255,88,2,Current,Active,2025-12-10,437463.21
256,AC00000256,71,4,CURRENT,Inactive,2026-03-25,340949.02
257,AC00000257,43,3,CURRENT,Inactive,2023-10-21,61152.46
258,AC00000258,36,1,Fixed Deposit,active,2024-10-15,221450.59
259,AC00000259,19,1,Current,Closed,2023-04-21,480513.45
260,AC00000260,68,3,CURRENT,Active,2024-05-22,374793.84
261,AC00000261,54,3,saving,Closed,2023-07-13,163697.57
262,AC00000262,34,4,Fixed Deposit,active,2026-03-03,262410.02
263,AC00000263,37,1,Savings,Active,2026-04-14,69426.64
264,AC00000264,76,3,Fixed Deposit,Closed,2026-03-22,111897.9
265,AC00000265,14,2,Current,Dormant,2022-09-15,327938.61
266,AC00000266,16,3,Savings,Closed,2025-02-26,64207.65
267,AC00000267,67,1,Fixed Deposit,Closed,2023-07-18,65651.43
268,AC00000268,47,1,saving,Active,2022-09-26,468587.76
269,AC00000269,5,3,Fixed Deposit,Closed,2024-10-16,313299.74
270,AC00000270,90,3,Savings,Active,2023-04-11,317171.73
271,AC00000271,16,3,Savings,Inactive,2023-08-22,37707.56
272,AC00000272,6,1,Savings,active,2025-01-28,212737.17
273,AC00000273,67,1,CURRENT,Inactive,2023-03-08,226887.18
274,AC00000274,85,1,saving,Active,2026-01-03,327596.1
275,AC00000275,39,2,Savings,Active,2024-03-03,412109.93
276,AC00000276,77,1,Fixed Deposit,Closed,2026-04-20,166412.54
277,AC00000277,78,4,Savings,Active,2022-08-10,420341.38
278,AC00000278,48,1,Savings,active,2025-12-15,499046.86
279,AC00000279,22,2,Current,Closed,2025-07-29,404489.3
280,AC00000280,14,4,saving,Dormant,2023-05-02,178309.95
281,AC00000281,35,1,CURRENT,Inactive,2025-05-04,371199.73
282,AC00000282,11,2,CURRENT,Inactive,2025-11-11,23451.13
283,AC00000283,31,3,Savings,Active,2025-08-15,30486.03
284,AC00000284,82,2,Current,active,2025-10-07,444250.69
285,AC00000285,60,4,Fixed Deposit,Inactive,2025-01-13,48207.54
286,AC00000286,79,3,saving,Dormant,2026-02-17,473489.16
287,AC00000287,37,2,Current,active,2022-06-21,27761.11
288,AC00000288,45,4,Current,Inactive,2025-11-10,409102.79
289,AC00000289,99,2,CURRENT,Inactive,2026-02-03,168821.24
290,AC00000290,75,1,CURRENT,Dormant,2025-05-06,298338.79
291,AC00000291,59,3,Fixed Deposit,Active,2024-06-04,204893.25
292,AC00000292,15,3,Savings,active,2022-09-15,462398.51
293,AC00000293,27,3,Fixed Deposit,Closed,2022-10-15,329301.71
294,AC00000294,53,1,Current,Dormant,2022-10-31,220456.04
295,AC00000295,83,2,CURRENT,Dormant,2023-03-31,131781.11
296,AC00000296,63,3,CURRENT,Inactive,2025-09-22,398005.96
297,AC00000297,55,2,CURRENT,Active,2025-03-26,467546.5
298,AC00000298,58,4,Savings,active,2024-04-10,86847.27
299,AC00000299,45,1,saving,Closed,2022-09-09,327091.11
300,AC00000300,85,3,Savings,Active,2025-10-02,67504.99
301,AC00000301,18,1,Fixed Deposit,Dormant,2025-05-13,165784.56
302,AC00000302,93,4,saving,Dormant,2023-05-10,362117.78
303,AC00000303,40,2,Current,Active,2024-03-21,166214.02
304,AC00000304,6,1,CURRENT,Active,2025-06-04,400284.99
305,AC00000305,67,3,Savings,Closed,2023-11-04,301434.54
306,AC00000306,70,2,saving,Inactive,2024-04-18,259990.74
307,AC00000307,64,1,saving,active,2024-07-05,219632.76
308,AC00000308,97,3,Savings,Inactive,2025-12-26,161485.19
309,AC00000309,11,3,CURRENT,Closed,2025-12-22,369621.8
310,AC00000310,16,1,Current,active,2025-03-29,347299.99
311,AC00000311,89,4,Fixed Deposit,Closed,2022-11-09,452450.61
312,AC00000312,24,3,CURRENT,Closed,2025-10-23,242840.89
313,AC00000313,3,2,Current,Closed,2026-03-08,260319.16
314,AC00000314,73,4,saving,Closed,2023-07-10,178059.81
315,AC00000315,93,1,saving,Inactive,2025-02-14,69572.02
316,AC00000316,40,3,saving,Closed,2025-09-06,201808.58
317,AC00000317,5,2,Savings,Active,2025-08-06,485884.23
318,AC00000318,39,1,CURRENT,Dormant,2022-06-09,96419.9
319,AC00000319,82,3,Fixed Deposit,Dormant,2022-07-27,436323.03
320,AC00000320,2,3,Savings,Closed,2025-03-18,86873.26
321,AC00000321,78,3,CURRENT,active,2023-03-20,201963.48
322,AC00000322,5,3,saving,Closed,2023-01-18,279593.59
323,AC00000323,91,4,CURRENT,Inactive,2023-09-06,258093.92
324,AC00000324,36,1,Fixed Deposit,active,2023-12-04,432778.09
325,AC00000325,33,4,Savings,active,2023-02-22,128873.31
326,AC00000326,88,4,Savings,Inactive,2022-12-19,422655.58
327,AC00000327,73,4,Savings,active,2023-08-12,233479.59
328,AC00000328,12,2,CURRENT,Active,2024-02-13,222535.26
329,AC00000329,7,2,Savings,Inactive,2024-09-11,140707.61
330,AC00000330,29,4,Fixed Deposit,Inactive,2024-01-03,249538.86
331,AC00000331,59,3,Savings,Active,2024-09-10,266673.23
332,AC00000332,48,4,Current,Inactive,2024-07-16,19198.99
333,AC00000333,29,1,CURRENT,Inactive,2022-09-04,101720.24
334,AC00000334,41,1,Savings,Active,2022-10-17,497592.92
335,AC00000335,96,1,Fixed Deposit,Dormant,2026-05-10,1734.78
336,AC00000336,94,3,Fixed Deposit,Dormant,2025-02-16,279391.54
337,AC00000337,71,1,saving,Dormant,2024-06-19,369188.47
338,AC00000338,62,3,Current,active,2023-05-07,111514.72
339,AC00000339,93,3,Fixed Deposit,Inactive,2023-11-03,276468.29
340,AC00000340,56,4,CURRENT,Inactive,2024-03-31,133652.92
341,AC00000341,68,4,CURRENT,Closed,2025-04-22,195827.13
342,AC00000342,22,3,CURRENT,Closed,2023-04-17,25409.69
343,AC00000343,98,4,Current,active,2022-09-26,494230.94
344,AC00000344,81,3,CURRENT,active,2025-09-17,113474.75
345,AC00000345,60,3,Fixed Deposit,Dormant,2024-04-28,277601.57
346,AC00000346,82,3,CURRENT,Inactive,2023-12-24,249357.9
347,AC00000347,50,1,CURRENT,Active,2023-04-30,90570.46
348,AC00000348,72,4,Fixed Deposit,active,2025-04-10,211742.79
349,AC00000349,8,1,saving,Closed,2025-07-04,391705.24
350,AC00000350,98,2,saving,Inactive,2024-06-01,182539.39
351,AC00000351,10,3,CURRENT,Dormant,2022-08-04,351554.51
352,AC00000352,49,2,CURRENT,active,2026-04-09,123150.91
353,AC00000353,81,1,Savings,active,2022-11-15,494624.12
354,AC00000354,31,3,Current,active,2023-04-07,256189.7
355,AC00000355,98,3,saving,Inactive,2024-10-20,231808.93
356,AC00000356,49,1,Savings,active,2023-02-17,343175.39
357,AC00000357,94,2,CURRENT,Active,2024-06-03,166001.11
358,AC00000358,91,1,saving,Dormant,2022-09-22,392207.74
359,AC00000359,50,2,Current,Closed,2023-08-04,360530.34
360,AC00000360,11,3,CURRENT,active,2024-07-04,196834.5
361,AC00000361,23,4,Fixed Deposit,Closed,2022-08-09,64997.58
362,AC00000362,35,4,Fixed Deposit,Inactive,2024-01-29,51420.82
363,AC00000363,8,2,Savings,Dormant,2022-06-07,323759.05
364,AC00000364,4,2,saving,Active,2023-09-26,459963.42
365,AC00000365,59,4,saving,active,2025-04-07,474385.56
366,AC00000366,66,3,saving,active,2024-02-26,493339.65
367,AC00000367,57,1,saving,Active,2026-02-16,299703.85
368,AC00000368,51,4,saving,Closed,2023-07-19,165641.57
369,AC00000369,36,2,Savings,Closed,2023-12-24,183988.87
370,AC00000370,90,2,saving,Dormant,2023-03-04,234919.48
371,AC00000371,65,3,Fixed Deposit,Closed,2024-12-30,280115.94
372,AC00000372,41,1,saving,active,2023-12-19,106424.36
373,AC00000373,83,1,saving,Closed,2025-04-17,58684.85
374,AC00000374,54,2,Fixed Deposit,active,2022-12-02,279046.19
375,AC00000375,73,3,CURRENT,Inactive,2024-10-01,107831.01
376,AC00000376,64,3,CURRENT,Inactive,2025-06-29,236798.98
377,AC00000377,49,4,CURRENT,Closed,2024-05-22,339031.89
378,AC00000378,42,3,Fixed Deposit,Closed,2024-08-09,128051.29
379,AC00000379,2,3,Savings,Dormant,2022-11-17,355713.7
380,AC00000380,58,3,Current,Active,2023-05-01,470829.77
381,AC00000381,87,3,Fixed Deposit,Inactive,2024-01-15,184752.06
382,AC00000382,13,3,Fixed Deposit,active,2025-06-14,185728.74
383,AC00000383,77,4,Current,active,2023-12-17,243783.53
384,AC00000384,10,4,saving,active,2025-10-01,239373.98
385,AC00000385,81,3,saving,Active,2023-02-15,359968.49
386,AC00000386,22,1,Current,Dormant,2025-09-02,316417.46
387,AC00000387,27,2,CURRENT,Active,2025-12-18,205049.18
388,AC00000388,42,2,Fixed Deposit,Closed,2024-08-08,418802.66
389,AC00000389,28,4,Savings,Closed,2024-10-31,149161.3
390,AC00000390,23,1,Current,Closed,2022-12-07,202043.34
391,AC00000391,64,3,saving,Inactive,2024-04-18,476253.3
392,AC00000392,96,4,saving,Inactive,2026-04-24,400301.69
393,AC00000393,78,4,Savings,Closed,2022-09-28,43154.22
394,AC00000394,52,2,saving,Dormant,2025-04-20,6758.82
395,AC00000395,22,3,CURRENT,Inactive,2023-07-20,358922.46
396,AC00000396,54,1,saving,Closed,2026-01-25,213446.79
397,AC00000397,14,1,Current,Inactive,2025-09-09,61638.41
398,AC00000398,5,4,Savings,Inactive,2025-09-23,477288.49
399,AC00000399,23,4,saving,Dormant,2026-05-22,300872.26
400,AC00000400,76,2,CURRENT,Closed,2024-08-21,420754.46
401,AC00000401,43,4,Current,active,2023-12-25,462962.01
402,AC00000402,53,1,saving,active,2025-08-17,163589.04
403,AC00000403,19,1,Current,Active,2022-06-02,112579.74
404,AC00000404,22,3,Fixed Deposit,active,2022-12-16,498248.34
405,AC00000405,73,1,saving,active,2024-11-22,165649.69
406,AC00000406,11,3,CURRENT,Active,2023-10-06,141339.34
407,AC00000407,14,1,Current,Active,2024-04-05,110689.3
408,AC00000408,60,4,Current,Closed,2024-05-28,254746.59
409,AC00000409,67,4,Fixed Deposit,active,2026-04-02,428263.01
410,AC00000410,27,4,saving,Closed,2024-08-06,317948.07
411,AC00000411,96,3,Current,Active,2024-05-19,393365.09
412,AC00000412,83,3,Savings,Inactive,2022-11-15,354973.57
413,AC00000413,98,2,Fixed Deposit,Closed,2025-08-29,246582.41
414,AC00000414,48,4,Current,Inactive,2025-03-08,430325.43
415,AC00000415,70,3,CURRENT,Dormant,2025-07-14,200605.95
416,AC00000416,20,1,Fixed Deposit,Inactive,2026-03-23,361096.02
417,AC00000417,57,2,Current,active,2025-11-09,398131.35
418,AC00000418,19,1,Fixed Deposit,active,2025-02-19,203761.51
419,AC00000419,92,4,Current,Inactive,2024-12-06,173342.34
420,AC00000420,76,2,CURRENT,active,2022-07-18,365368.39
421,AC00000421,75,4,Fixed Deposit,Dormant,2022-10-13,275967.09
422,AC00000422,71,2,Current,Closed,2023-07-13,362529.35
423,AC00000423,62,1,Savings,Closed,2024-03-07,55569.0
