customer_id,customer_code,full_name,gender,date_of_birth,email,phone_number,city,kyc_status,created_at,updated_at
20,CUST00020,Natasha Stout,Other,2000-07-10,josephrussell@example.net,001-988-803-4323,Kathmandu,Rejected,2022-08-06,2023-06-12
21,CUST00021,Lisa White,Male,1957-03-01,ashleymeza@example.org,550-424-2443x6820,Lalitpur,UNKNOWN,2025-06-24,2026-11-02
22,CUST00022,Autumn Turner,Female,1961-02-14,lance75@example.net,(362)540-0136x46997,Butwal,pending,2022-10-08,2023-05-11
23,CUST00023,Cody Ramirez,Other,1961-12-22,ballardnatalie@example.net,9074589886,Pokhara,pending,2025-02-07,2025-03-17
24,CUST00024,Jason Hawkins,Female,1954-06-24,amoore@example.org,+1-606-854-1256,Pokhara,Verified,2021-12-06,2023-02-13
25,CUST00025,Amy Moss,Other,1974-09-08,diana34@example.com,(607)358-1081x75511,Kathmandu,Pending,2022-11-23,2024-03-24
26,CUST00026,Jonathan Flores,Male,1954-10-27,brianna72@example.com,(406)250-5781x4618,Biratnagar,verified,2025-03-17,2026-01-08
27,CUST00027,Megan Mcdonald,Female,1986-11-27,caleb84@example.com,692.297.6333,Pokhara,Rejected,2021-12-03,2023-04-07
28,CUST00028,Jose Hudson,Female,1957-09-10,hgriffin@example.com,410-518-6469,Kathmandu,pending,2022-06-07,2022-06-23
29,CUST00029,Lauren Martinez,Female,1967-07-18,jasmine56@example.net,(505)958-4143,Pokhara,Pending,2022-07-05,2023-01-29
30,CUST00030,Kelly Mitchell,Male,1978-05-03,samantha13@example.org,+1-575-877-6351x989,Biratnagar,Pending,2022-12-09,2023-11-18
31,CUST00031,Kevin Diaz,,1975-04-17,robertsjacob@example.net,001-363-424-1134x5890,Pokhara,Rejected,2025-08-04,2026-09-29
32,CUST00032,Linda Jacobson,Female,1999-01-05,darrenelliott@example.net,9557557868,Kathmandu,Verified,2022-06-16,2023-10-04
33,CUST00033,Rachel Clark,Female,1998-05-09,regina03@example.net,490-532-0971x89291,Kathmandu,Verified,2023-02-14,2023-12-13
34,CUST00034,Patricia Morgan,,1997-06-14,joyhernandez@example.com,714-766-0464x0103,Biratnagar,pending,2023-01-15,2024-03-15
35,CUST00035,Dillon Hall,Female,1961-09-29,michael62@example.net,4643443881,Pokhara,verified,2023-03-27,2023-04-04
36,CUST00036,Mitchell Dunlap,Female,1956-08-13,clee@example.org,702-668-7861x1968,Kathmandu,Verified,2024-06-27,2024-10-02
37,CUST00037,Michael Duke,,1998-07-09,hferguson@example.com,001-487-422-9006x62210,Butwal,pending,2024-11-18,2025-08-21
38,CUST00038,Casey Cruz,Male,1988-08-28,,001-354-840-2912x0054,Kathmandu,Verified,2022-03-20,2023-03-29
39,CUST00039,Kirk Brooks,Female,1980-08-22,rachel06@example.com,776-319-9066x29230,Kathmandu,verified,2023-06-30,2024-01-07
40,CUST00040,Rachel Evans,Female,1989-04-03,hbeck@example.net,8784419036,Lalitpur,verified,2024-12-07,2025-06-20
41,CUST00041,Susan Johnson,Other,1989-12-15,,001-817-678-5932x1469,Lalitpur,verified,2021-11-02,2021-11-06
42,CUST00042,Lori Johnson,Female,1998-09-08,hannah82@example.net,(758)430-1998x69801,Biratnagar,Pending,2021-06-22,2021-08-08
43,CUST00043,Ricky Perry,,2007-07-29,kellyhayley@example.net,5073657659,Lalitpur,pending,2025-04-28,2026-01-26
44,CUST00044,Katie Parker,,1989-04-05,leslie51@example.com,(528)445-2592x891,Pokhara,Pending,2025-05-31,2026-02-02
45,CUST00045,Margaret Greene,Female,2000-03-15,hford@example.com,(414)620-8620x8313,Kathmandu,Pending,2021-07-30,2022-01-29
46,CUST00046,Ryan White,,1993-06-25,dylanhoward@example.net,684-584-0385,Biratnagar,verified,2024-10-06,2024-11-05
47,CUST00047,Lauren Clark,,1953-05-12,lopezdylan@example.net,2107078203,Pokhara,Verified,2022-06-17,2023-09-13
48,CUST00048,Ariana Wood,Female,1984-04-24,jparsons@example.com,(581)333-7425x074,Kathmandu,pending,2025-12-07,2027-01-12
49,CUST00049,Edward Davis,Other,1991-09-06,amartin@example.org,(874)665-4907x744,Lalitpur,Verified,2025-06-26,2026-04-21
50,CUST00050,Xavier Adams,,2006-11-19,robert64@example.org,001-603-425-5335x9954,Lalitpur,Rejected,2023-02-02,2023-10-14
51,CUST00051,Dana Wilson,,1984-11-30,kimberly59@example.net,+1-218-524-9686x19522,Pokhara,Verified,2024-02-16,2024-09-04
52,CUST00052,Andre Ray,,1952-04-21,penaashley@example.org,+1-821-765-2266x00511,Pokhara,Verified,2022-01-07,2023-03-10
53,CUST00053,Vernon Smith MD,Female,1978-02-01,richardsonkaren@example.org,983-844-2263x3115,Butwal,Pending,2025-02-09,2026-02-16
54,CUST00054,Yolanda Mathis DDS,Other,1988-06-07,chelsea18@example.org,816.705.7721,Butwal,Pending,2021-11-05,2023-03-02
55,CUST00055,Caroline Dunlap,,1987-07-30,,(400)837-2273x090,Pokhara,Rejected,2025-10-13,2026-05-31
56,CUST00056,Kathleen Williams,Other,1989-08-18,nancyadams@example.org,001-667-916-2338x33359,Biratnagar,Pending,2022-10-09,2023-02-23
57,CUST00057,Jenna Robertson,Female,2000-11-29,lisaking@example.net,892.587.4259x3336,Biratnagar,pending,2022-11-12,2023-06-12
58,CUST00058,Robert Hawkins,Female,2006-05-12,,+1-647-886-2466x929,Lalitpur,verified,2022-02-06,2023-03-07
59,CUST00059,Mary Young,,1998-03-08,zjohnson@example.com,(366)299-2979x47948,Biratnagar,Pending,2021-09-02,2022-03-06
60,CUST00060,Andrea Walker,,1988-01-25,rgreen@example.org,682.951.5999x98079,Biratnagar,Verified,2025-08-28,2026-02-22
61,CUST00061,April Reid,,1963-07-24,richardwilson@example.org,+1-922-714-8328x2463,Kathmandu,pending,2025-09-15,2025-11-22
62,CUST00062,Karen Charles,Male,1991-01-09,,001-530-825-9444x2554,Pokhara,Pending,2022-08-13,2023-10-15
63,CUST00063,Wendy Hanson,,1958-03-11,coxtimothy@example.org,9349353376,Butwal,Rejected,2021-06-30,2022-02-12
64,CUST00064,Roberto Rivera,,1992-09-16,grantheidi@example.net,001-527-489-1835x3197,Kathmandu,Rejected,2024-01-26,2024-09-06
65,CUST00065,Victoria Sanchez,,1990-11-09,karlallen@example.net,+1-872-692-4679,Biratnagar,Verified,2022-02-15,2023-03-06
66,CUST00066,Kevin Huber,,1973-04-01,,001-318-780-4016x59256,Pokhara,Verified,2022-02-11,2023-03-25
67,CUST00067,Eric Wright,Other,1998-12-03,aliciamcconnell@example.com,(555)545-9955x85610,Pokhara,Rejected,2025-02-06,2025-06-30
68,CUST00068,Nicole Morton,,1997-11-19,welchjohn@example.com,(548)249-7027x062,Biratnagar,Pending,2024-04-27,2024-10-17
69,CUST00069,Jonathan Johnson,Other,1962-04-10,laurenbarnes@example.org,974-776-3489x54582,Butwal,pending,2024-07-19,2025-01-06
70,CUST00070,Leslie Cisneros,Other,1972-07-18,owilliams@example.net,001-539-807-7061x13857,Biratnagar,Verified,2023-03-28,2023-11-03
71,CUST00071,Gail Nguyen,Female,1998-10-02,,574-789-9179,Biratnagar,Pending,2023-11-08,2023-12-04
72,CUST00072,Kevin Schmidt,Male,2003-04-02,roger23@example.com,(335)338-9532,Biratnagar,Verified,2022-01-07,2022-03-16
73,CUST00073,Bryan Obrien,Female,1977-06-12,jjones@example.org,622-390-9284x694,Lalitpur,verified,2022-07-12,2023-07-29
74,CUST00074,Angela Leblanc,Female,2007-03-14,brianmoreno@example.net,542-515-4459,Biratnagar,verified,2025-07-25,2026-09-03
75,CUST00075,Jennifer Young,Male,1997-03-18,lfoster@example.net,8338193574,Pokhara,Pending,2026-04-21,2026-06-06
76,CUST00076,Albert Hernandez,Female,2003-07-08,sarahhicks@example.org,+1-406-488-2037x56122,Lalitpur,Verified,2025-08-10,2026-11-06
77,CUST00077,Dean Silva,Other,1991-12-22,smithdeborah@example.org,(708)265-8349,Biratnagar,verified,2023-06-06,2024-03-14
78,CUST00078,Dylan Higgins,Male,1992-09-29,pachecojoseph@example.net,9076936294,Pokhara,verified,2023-02-14,2023-03-13
79,CUST00079,Laura Fernandez,Male,1978-04-13,penadonald@example.org,4956109227,Kathmandu,Verified,2021-08-21,2021-10-01
80,CUST00080,Larry Jackson,Male,1987-11-22,christopher12@example.net,252-258-7600x692,Pokhara,verified,2023-06-16,2023-10-15
81,CUST00081,Daniel Myers,Male,1991-12-02,jimenezalyssa@example.com,(211)791-1090x49075,Pokhara,pending,2023-11-19,2024-09-06
82,CUST00082,Sheena Delgado,Other,1954-10-08,angela84@example.net,5365994647,Butwal,pending,2021-11-16,2023-03-15
83,CUST00083,Hunter Taylor,Male,1958-03-05,swinters@example.net,815.343.5714x973,Biratnagar,verified,2023-01-31,2024-05-16
84,CUST00084,Wendy Smith,Female,1994-01-22,annettesilva@example.com,505.850.3192,Lalitpur,Verified,2022-09-06,2022-12-14
85,CUST00085,Anthony Butler,,1950-09-05,julia66@example.com,(789)241-7268x9696,Lalitpur,Pending,2025-11-15,2026-01-29
86,CUST00086,Kelsey Shelton,Female,2001-09-21,taranelson@example.com,+1-870-582-7367x9775,Biratnagar,Rejected,2023-08-02,2024-06-01
87,CUST00087,Debra Moran,Other,1963-09-26,lburke@example.net,629-533-0914x41185,Biratnagar,pending,2022-02-17,2022-09-15
88,CUST00088,Jordan Schneider,,1989-06-09,maryadams@example.net,515-748-3371x05815,Biratnagar,Verified,2023-10-18,2024-09-07
89,CUST00089,Jason Bennett,,1971-01-15,nthompson@example.com,001-983-571-7950,Biratnagar,verified,2025-07-14,2025-08-13
90,CUST00090,Zachary May,Female,1971-04-20,amymoore@example.org,522-839-6233x428,Kathmandu,pending,2022-01-15,2023-05-18
91,CUST00091,John Martinez,Male,1957-10-09,khuber@example.com,+1-787-724-2340x5384,Biratnagar,Verified,2021-06-23,2021-08-06
92,CUST00092,Kaitlyn Allen,Male,1998-06-19,hhoward@example.com,509.554.0694x318,Butwal,pending,2024-11-23,2026-03-23
93,CUST00093,Gina Stone,,1974-02-19,julie61@example.net,+1-730-516-6592,Biratnagar,Verified,2023-08-30,2024-01-23
94,CUST00094,Michele Olson,Other,1993-03-05,john05@example.org,(254)672-2520x531,Lalitpur,Verified,2025-12-11,2027-04-07
95,CUST00095,Emily Todd,Male,1993-04-01,monica59@example.org,424-814-3294x738,Biratnagar,Pending,2025-11-02,2026-04-05
96,CUST00096,David Day,Female,1976-07-18,abrown@example.org,751-484-0677,Pokhara,Pending,2021-12-27,2022-09-23
97,CUST00097,David Gregory,Male,1993-10-15,krobles@example.com,415-546-0887x212,Biratnagar,Verified,2022-08-24,2022-10-27
98,CUST00098,Ashley Collier,Female,1977-07-03,reyesjennifer@example.net,388.923.2458x99770,Pokhara,Rejected,2022-04-09,2022-04-27
99,CUST00099,Wanda Harrison,Male,1975-07-28,vperez@example.org,390.236.6198x555,Kathmandu,pending,2023-06-03,2024-04-10
100,CUST00100,Krista Moore,Female,1981-05-13,rpena@example.net,607-790-3304,Butwal,pending,2025-01-31,2025-02-11
101,CUST00101,Raymond Frye,Other,2007-03-16,andrea79@example.com,+1-232-292-3956x579,Pokhara,Pending,2023-04-29,2024-07-13
102,CUST00102,Matthew Leblanc,,1954-11-06,bennettrenee@example.com,880-928-4596x7304,Pokhara,Rejected,2025-03-18,2025-10-03
103,CUST00103,Sean Shannon,Male,2007-04-27,ymendez@example.org,839.858.4278x59035,Pokhara,pending,2025-06-20,2026-08-01
104,CUST00104,Andrew Sanders,Male,1979-10-14,wrightchristian@example.net,258-820-6001,Kathmandu,Pending,2021-12-30,2023-01-04
105,CUST00105,Cynthia Perkins,Male,1950-11-11,kathryn61@example.net,824.827.4467x545,Butwal,verified,2024-01-13,2025-05-04
106,CUST00106,Sarah Koch,Male,1997-07-23,johnsonteresa@example.net,+1-349-857-1837x919,Butwal,Verified,2025-01-22,2025-12-16
107,CUST00107,Emily Ortiz,,1983-05-20,wardkyle@example.org,001-378-539-7257x924,Lalitpur,pending,2024-03-29,2024-04-23
108,CUST00108,Angela Rivera,Other,2007-09-04,eholmes@example.org,896.250.1216x7022,Pokhara,Verified,2021-06-23,2022-07-31
109,CUST00109,Jason Kelly,,1954-03-12,stephaniemcintyre@example.org,417.414.5306,Lalitpur,Verified,2023-11-26,2025-02-22
110,CUST00110,Joe Mitchell,Male,2005-05-18,valenciabethany@example.org,8478793706,Lalitpur,Rejected,2023-05-13,2023-09-22
111,CUST00111,Aaron Underwood,,1999-10-03,goodwinkathryn@example.net,001-353-332-6165,Lalitpur,Verified,2026-02-09,2026-08-03
112,CUST00112,Heather Evans,Male,1985-10-18,lhall@example.com,560.723.5228x10522,Butwal,Verified,2021-10-25,2021-12-26
113,CUST00113,Melanie Greene,Other,1987-04-08,westjessica@example.net,001-811-288-7401x30221,Lalitpur,pending,2025-06-15,2026-01-31
114,CUST00114,Dylan Brown,Female,1968-03-18,ryan39@example.com,(295)815-6806,Lalitpur,pending,2024-11-15,2025-03-02
115,CUST00115,Kimberly Johnson,Female,2003-01-18,wilsonalexander@example.com,+1-216-486-3473x3411,Kathmandu,Rejected,2025-03-03,2026-02-23
116,CUST00116,Shannon Francis,,1998-08-19,gdodson@example.net,878-596-2758x05912,Pokhara,Verified,2022-11-12,2024-01-30
117,CUST00117,Sarah Webb,Female,1971-04-11,barajasbrian@example.com,876-476-0144,Biratnagar,pending,2021-12-18,2022-04-22
118,CUST00118,Natalie Pena,Female,1974-12-28,karen77@example.com,760-560-4225,Biratnagar,Pending,2024-05-08,2025-01-08
119,CUST00119,Jonathan Jimenez,,1982-01-05,davidsonstephanie@example.com,001-442-291-4813x99419,Pokhara,verified,2025-09-05,2026-07-23
120,CUST00120,George Bailey,Other,1955-01-28,murphyanthony@example.com,490.858.3603x832,Lalitpur,Verified,2025-09-01,2026-05-01
121,CUST00121,Jermaine Green,,1987-09-03,jared33@example.com,681.489.8717,Lalitpur,Rejected,2024-02-04,2024-02-09
122,CUST00122,Russell Parker,Male,1953-08-02,mblevins@example.com,+1-377-731-3298x4045,Lalitpur,Rejected,2023-01-10,2023-04-04
123,CUST00123,Emily Wright,Male,1979-06-09,dreynolds@example.com,581.270.3376,Kathmandu,Pending,2024-10-22,2025-05-12
124,CUST00124,Sarah Price,Female,1995-09-16,jensenyolanda@example.com,(765)697-1047,Biratnagar,verified,2021-11-20,2022-04-26
125,CUST00125,Frederick Parker,Female,1991-05-24,cunninghammichael@example.org,001-681-249-8123x87284,Lalitpur,Verified,2022-10-30,2023-02-15
126,CUST00126,Eddie Bowers,,1974-12-12,,001-454-442-0373x1408,Pokhara,Pending,2024-02-22,2024-06-19
127,CUST00127,Mr. Cameron Chambers DDS,Male,1963-04-15,,001-822-758-8494x01100,Butwal,Verified,2023-01-26,2023-10-17
128,CUST00128,Richard Coleman,Male,1990-09-21,jennifer86@example.org,(795)312-7742x88738,Kathmandu,Rejected,2026-04-14,2027-01-01
129,CUST00129,Cynthia Horn,Female,1969-03-17,bradleyhenry@example.org,386-834-5419x956,Pokhara,verified,2023-03-16,2023-06-15
130,CUST00130,Amy Pierce,Female,1982-12-16,rkline@example.org,+1-211-499-4982x1964,Biratnagar,verified,2022-03-28,2023-03-24
131,CUST00131,Joyce Chapman,Female,2002-12-24,stevenfrench@example.net,348-390-0173,Kathmandu,Pending,2023-04-14,2023-06-19
132,CUST00132,Mariah Turner,,1989-11-25,jonesjulie@example.com,+1-879-817-3586x592,Kathmandu,verified,2023-10-21,2024-10-27
133,CUST00133,Travis Thompson,,1965-04-01,natashathornton@example.com,695.969.6669x8158,Butwal,Verified,2023-06-15,2024-10-03
134,CUST00134,Bryan Brown,,1975-02-23,brandondavis@example.org,381-373-1698x815,Pokhara,pending,2021-09-01,2021-10-03
135,CUST00135,Olivia Simmons,Female,1989-05-31,huberamy@example.org,+1-920-481-5064,Lalitpur,Rejected,2024-10-02,2025-05-22
136,CUST00136,Peter Murphy,Other,1970-05-24,,4367716287,Kathmandu,Rejected,2023-08-28,2025-01-02
137,CUST00137,Shawn Gonzalez,,1973-08-25,elizabeth04@example.com,001-458-945-9752x8602,Pokhara,Verified,2026-04-03,2026-07-27
138,CUST00138,Charles Miller,,1979-12-30,suzanne21@example.org,001-751-764-9528x08683,Lalitpur,Pending,2024-01-17,2024-12-28
139,CUST00139,Crystal Bryant,Male,1991-08-08,melissa23@example.org,001-641-367-7572x044,Biratnagar,pending,2026-01-08,2026-10-13
140,CUST00140,Sherry Robinson,Male,1955-10-07,matthew18@example.org,606-919-2341x0196,Pokhara,verified,2025-06-09,2026-02-04
141,CUST00141,Jason Johnson,Other,1955-02-24,richard42@example.net,001-978-943-8765x78050,Pokhara,Verified,2024-11-18,2025-09-30
142,CUST00142,Brianna Gonzalez,,1994-12-07,justin22@example.com,4022655253,Lalitpur,Verified,2023-10-05,2023-10-28
143,CUST00143,Christina Hernandez,,1965-02-09,holly54@example.net,693.923.1896x28560,Pokhara,pending,2025-03-03,2026-05-19
144,CUST00144,Andrew Moses,Male,1999-01-27,mooretanya@example.org,745.582.8791x6735,Pokhara,pending,2024-01-10,2024-02-01
145,CUST00145,Christopher Jenkins,Other,1969-08-10,norma66@example.com,733-248-3608,Lalitpur,Verified,2023-12-03,2024-06-05
146,CUST00146,Daniel Green,,1971-04-29,cynthiabartlett@example.net,+1-457-369-0181x36467,Lalitpur,Rejected,2024-04-14,2024-05-07
147,CUST00147,Mark Johnson,,1951-04-12,nvargas@example.net,(859)747-7387,Kathmandu,Rejected,2022-10-09,2022-11-07
148,CUST00148,Brett Rich,,1972-07-27,pholden@example.org,+1-205-629-5996x607,Butwal,Rejected,2024-07-10,2024-10-04
149,CUST00149,Sharon Woods,Other,1976-12-28,miguel27@example.net,230-230-4951x134,Lalitpur,Pending,2023-09-24,2024-01-13
150,CUST00150,Calvin Rogers,Male,2001-07-07,taylorangela@example.net,001-875-654-5571x50735,Lalitpur,verified,2025-05-27,2025-06-02
151,CUST00151,Lisa Curtis,Other,1990-11-15,kristin73@example.com,(845)553-7240x32387,Pokhara,pending,2025-12-12,2026-09-05
152,CUST00152,Kevin Rangel,,1956-11-09,william06@example.com,755-824-3620x661,Biratnagar,Rejected,2021-06-05,2021-08-23
153,CUST00153,Karen Diaz,Other,2001-04-05,melissa82@example.net,917-963-0140x342,Kathmandu,Pending,2023-01-06,2024-04-19
154,CUST00154,Jeffrey Hill,Female,2002-12-24,brittanyhanson@example.net,985.319.7127,Kathmandu,Pending,2022-04-15,2023-06-15
155,CUST00155,Thomas Banks,,1989-05-16,hyoder@example.org,(712)652-4542,Kathmandu,Pending,2023-01-27,2024-04-16
156,CUST00156,Donna Walsh,Female,1963-04-20,bushchristopher@example.com,684-441-1434,Biratnagar,Pending,2021-08-02,2022-06-15
157,CUST00157,Maria Reilly,Female,1997-03-12,emilypena@example.net,001-820-660-8641,Kathmandu,Rejected,2024-07-29,2024-11-20
158,CUST00158,Teresa Henderson,Female,1981-11-29,caseyrollins@example.net,(576)751-4079,Kathmandu,Verified,2022-10-10,2024-02-13
159,CUST00159,Dustin Thornton,Other,1992-11-14,nicholas87@example.org,711.429.9106,Lalitpur,pending,2022-08-31,2023-08-20
160,CUST00160,Matthew Levy,,1978-12-06,bradley88@example.net,(330)252-7975,Lalitpur,verified,2025-08-10,2026-05-18
161,CUST00161,Lindsay Montgomery,Other,2002-06-12,,916.480.3280,Pokhara,Rejected,2023-11-22,2023-12-31
162,CUST00162,Brad Mann,,1964-05-16,kellysamuel@example.com,(653)596-5330,Butwal,Rejected,2025-09-20,2027-01-02
163,CUST00163,Mary Stout,Male,1975-07-01,oyoder@example.org,(276)576-2700x778,Butwal,pending,2021-08-05,2022-09-29
164,CUST00164,Ryan Conway,,1997-08-31,tylerjames@example.org,001-574-203-8133x83541,Pokhara,Pending,2024-07-29,2024-11-14
165,CUST00165,Monica Bush,,1955-05-19,mariahudson@example.net,(314)370-9397,Pokhara,Rejected,2022-11-12,2023-07-23
166,CUST00166,Ronnie Hernandez,Other,1997-06-07,rodriguezrichard@example.com,(623)813-8861,Biratnagar,verified,2023-10-18,2025-02-25
167,CUST00167,Jennifer Becker,Male,2001-12-03,fmartinez@example.org,001-808-364-0807,Kathmandu,Rejected,2025-10-24,2026-11-09
168,CUST00168,Christine Becker,Female,2003-12-12,bharvey@example.org,+1-775-567-4480x3902,Butwal,Verified,2021-10-25,2023-01-02
169,CUST00169,Ashley Barry,Male,2005-10-07,travishamilton@example.net,+1-465-360-7109x700,Lalitpur,Rejected,2025-11-06,2026-07-18
170,CUST00170,Christopher Day,Male,2001-09-21,rodriguezanthony@example.net,260.954.3456x64183,Lalitpur,verified,2023-11-04,2025-02-23
171,CUST00171,Angela Bryan,Female,1978-01-17,wmoore@example.net,8232464337,Pokhara,Verified,2023-04-11,2023-06-04
172,CUST00172,Chad Mcdonald,,2007-03-30,durancynthia@example.org,(518)645-8594x25405,Pokhara,Pending,2024-12-28,2025-05-12
173,CUST00173,Jose Scott,Female,1951-11-08,eric14@example.org,+1-768-407-9621x318,Pokhara,pending,2023-01-03,2024-04-10
174,CUST00174,Donald Woodard,Other,1967-08-12,xholmes@example.net,499.872.5106,Kathmandu,Pending,2022-04-09,2023-06-16
175,CUST00175,Maria Barnes,,1995-03-14,zacharyallen@example.net,(751)302-8058x2626,Lalitpur,verified,2024-07-14,2024-08-08
176,CUST00176,Michael Walker,Female,1984-10-19,craneanthony@example.net,001-390-500-4550,Pokhara,pending,2025-02-08,2025-12-19
177,CUST00177,Nathan Baker,,1993-12-21,michaelboyd@example.net,001-825-997-1321x33083,Lalitpur,verified,2025-07-23,2025-10-22
178,CUST00178,Thomas Anderson,,1969-12-20,yvettecollins@example.org,(444)514-1862x40874,Kathmandu,Rejected,2023-12-22,2024-09-07
179,CUST00179,Debra Cook,,1992-01-29,antoniosheppard@example.org,249-890-0768x403,Pokhara,Pending,2021-08-26,2022-09-21
180,CUST00180,Nicholas Lewis,Female,2006-08-29,,2874484177,Kathmandu,Rejected,2024-08-27,2025-08-08
181,CUST00181,Carol Anderson,Other,1964-06-29,maryflynn@example.net,936.225.5301x2264,Biratnagar,Verified,2023-05-27,2024-05-29
182,CUST00182,John Ramsey,,1976-04-06,kristinesanders@example.org,(943)495-6480x6338,Kathmandu,verified,2022-11-03,2023-10-12
183,CUST00183,Christopher Smith,Other,1971-12-25,,001-328-973-7762,Pokhara,verified,2022-01-21,2022-12-14
184,CUST00184,Richard Barton,Male,1989-04-26,veronicawilson@example.net,(876)923-8431x88428,Pokhara,Verified,2022-01-30,2023-03-24
185,CUST00185,William Brown,Other,1993-01-24,robert47@example.com,800.597.8623,Biratnagar,Rejected,2023-05-28,2024-08-05
186,CUST00186,Kevin Faulkner,Other,1961-02-23,jamesjames@example.com,245.709.8137x50448,Pokhara,Rejected,2025-01-12,2025-02-07
187,CUST00187,Jason Griffin,Female,2006-02-24,kathrynstewart@example.org,746.835.0979x2167,Pokhara,pending,2025-02-14,2025-07-06
188,CUST00188,Randy Gallegos,,2001-08-23,,631-528-8577x9779,Biratnagar,Verified,2025-09-28,2026-07-23
189,CUST00189,Courtney Bowman,Other,1994-02-11,qedwards@example.net,212.215.6876,Kathmandu,verified,2023-06-29,2023-10-30
190,CUST00190,Ryan Kelly,,2003-04-20,rebeccathomas@example.org,873-766-9156,Lalitpur,verified,2024-08-27,2025-03-25
191,CUST00191,Timothy Green,Male,1950-11-02,angela61@example.com,6398994303,Lalitpur,Pending,2022-08-05,2023-03-11
192,CUST00192,Michael Evans,Female,1963-05-07,wheelerjacob@example.net,+1-957-745-6888x637,Lalitpur,Verified,2025-05-17,2025-06-08
193,CUST00193,Sherry Rodgers,Male,1974-07-17,davischad@example.org,315.244.6389x525,Biratnagar,Verified,2023-02-15,2023-05-02
194,CUST00194,Robert Anderson,Other,1992-12-30,wrightsharon@example.net,+1-562-549-6660x7470,Pokhara,Pending,2024-05-30,2025-07-07
195,CUST00195,Tamara Armstrong,Other,1966-01-21,,458-625-4925x246,Biratnagar,Pending,2025-11-24,2026-07-30
196,CUST00196,Mrs. Julie Flowers PhD,Male,1998-05-17,danieladkins@example.net,001-467-780-8188x1654,Lalitpur,Pending,2023-11-10,2024-10-26
197,CUST00197,Ashley Moore,Male,1960-07-28,wbright@example.com,001-414-466-8983x62052,Kathmandu,Verified,2025-06-26,2026-05-26
198,CUST00198,Robert Garcia,Male,1980-01-21,christopherwilliams@example.com,6032603739,Biratnagar,verified,2023-08-22,2024-03-07
199,CUST00199,Cynthia Donaldson,Male,1968-04-25,lori94@example.org,+1-538-411-7589x9875,Lalitpur,verified,2025-03-27,2026-05-08
200,CUST00200,John Wiley,,1968-04-09,natalie87@example.net,9497615420,Kathmandu,verified,2021-07-21,2022-11-11
201,CUST00201,Yolanda Turner,Male,2007-12-04,victoria57@example.org,701.344.1043x4247,Lalitpur,pending,2024-11-20,2025-09-10
202,CUST00202,James Smith,Female,1951-12-25,,001-283-918-3468,Kathmandu,Pending,2021-09-04,2022-03-15
203,CUST00203,Vanessa Lloyd,,1981-02-11,bethanythompson@example.net,+1-452-419-2640x63169,Butwal,Verified,2025-03-28,2025-10-25
